,wins
0,70
1,86
2,70
3,82
4,75
5,80
6,84
7,67
8,71
9,86
10,76
11,75
12,79
13,68
14,72
15,76
16,74
17,87
18,88
19,65
20,93
21,70
22,81
23,90
24,92
25,75
26,75
27,91
28,80
29,81
30,72
31,71
32,70
33,84
34,85
35,70
36,82
37,75
38,99
39,77
40,92
41,95
42,89
43,94
44,100
45,97
46,80
47,86
48,89
49,78
50,98
51,85
52,74
53,65
54,100
55,85
56,92
57,98
58,84
59,51
60,77
61,76
62,90
63,82
64,70
65,65
66,94
67,81
68,81
69,64
70,79
71,69
72,55
73,51
74,49
75,58
76,63
77,45
78,53
79,44
80,52
81,69
82,94
83,83
84,89
85,72
86,62
87,79
88,53
89,54
90,53
91,70
92,66
93,60
94,50
95,56
96,70
97,64
98,77
99,83
100,78
101,38
102,71
103,79
104,77
105,63
106,65
107,62
108,59
109,68
110,65
111,67
112,81
113,86
114,91
115,75
116,83
117,76
118,64
119,92
120,89
121,85
122,92
123,95
124,92
125,86
126,88
127,83
128,86
129,84
130,88
131,86
132,85
133,77
134,81
135,93
136,76
137,82
138,70
139,76
140,88
141,67
142,70
143,61
144,69
145,66
146,81
147,89
148,88
149,80
150,66
151,72
152,69
153,54
154,63
155,65
156,94
157,98
158,104
159,96
160,101
161,106
162,103
163,95
164,88
165,101
166,101
167,96
168,90
169,79
170,84
171,72
172,86
173,91
174,89
175,94
176,96
177,79
178,67
179,68
180,65
181,54
182,76
183,69
184,83
185,61
186,47
187,45
188,53
189,57
190,71
191,63
192,79
193,57
194,76
195,81
196,93
197,74
198,74
199,82
200,62
201,59
202,82
203,79
204,64
205,63
206,63
207,55
208,67
209,65
210,57
211,46
212,55
213,43
214,67
215,70
216,82
217,72
218,89
219,81
220,66
221,59
222,59
223,53
224,58
225,52
226,64
227,54
228,54
229,57
230,69
231,76
232,74
233,74
234,89
235,95
236,77
237,86
238,97
239,94
240,97
241,76
242,91
243,109
244,108
245,101
246,80
247,97
248,91
249,90
250,88
251,97
252,90
253,102
254,100
255,94
256,98
257,85
258,83
259,73
260,67
261,54
262,87
263,76
264,67
265,89
266,85
267,88
268,98
269,79
270,78
271,74
272,63
273,67
274,71
275,78
276,74
277,70
278,69
279,68
280,64
281,66
282,69
283,93
284,85
285,96
286,81
287,89
288,95
289,78
290,49
291,59
292,75
293,88
294,81
295,78
296,105
297,79
298,91
299,101
300,91
301,90
302,72
303,75
304,61
305,61
306,67
307,47
308,46
309,51
310,57
311,58
312,52
313,62
314,43
315,76
316,78
317,74
318,80
319,88
320,89
321,82
322,84
323,93
324,68
325,77
326,71
327,104
328,83
329,96
